Cod;Descrição;Und;Data Movimento;Op. Tributária;Descrição;Cli. / Forne.;Nome;Modelo Doc;Nº Documento;Ordem Produção;Data Emissão;Almoxarifado;Veículo;Retirante;Qtd. Saída;Qtd. Entrada;Custo unit;Saldo Fisíco;Saldo Financeiro;Preço de venda;Lucro Unitario
61;LEITE UHT INTEGRAL JUSSARA MAX GFA - 06 LTS       ;FD ;13/10/2023;498;ENTRADA P/INDUSTRIALIZACAO              ;;;PRO  ;23029023;               ;13/10/2023;1;0;0;0;5154;16,8222;51583,037;934637,8776;19,69457566;2,87237566
61;LEITE UHT INTEGRAL JUSSARA MAX GFA - 06 LTS       ;FD ;14/10/2023;498;ENTRADA P/INDUSTRIALIZACAO              ;;;PRO  ;23029110;               ;14/10/2023;1;0;0;0;19612;16,8222;63590,037;1126759,109;19,69457566;2,87237566
61;LEITE UHT INTEGRAL JUSSARA MAX GFA - 06 LTS       ;FD ;15/10/2023;498;ENTRADA P/INDUSTRIALIZACAO              ;;;PRO  ;23029111;               ;15/10/2023;1;0;0;0;16522;16,8222;80110,037;1404660,059;19,69457566;2,87237566
61;LEITE UHT INTEGRAL JUSSARA MAX GFA - 06 LTS       ;FD ;17/10/2023;498;ENTRADA P/INDUSTRIALIZACAO              ;;;PRO  ;23029214;               ;17/10/2023;1;0;0;0;1007;16,8222;76775,037;1345466,952;19,69457566;2,87237566
61;LEITE UHT INTEGRAL JUSSARA MAX GFA - 06 LTS       ;FD ;18/10/2023;498;ENTRADA P/INDUSTRIALIZACAO              ;;;PRO  ;23029389;               ;18/10/2023;1;0;0;0;19190;16,8222;86943,037;1510176,224;19,69457566;2,87237566
61;LEITE UHT INTEGRAL JUSSARA MAX GFA - 06 LTS       ;FD ;19/10/2023;498;ENTRADA P/INDUSTRIALIZACAO              ;;;PRO  ;23029475;               ;19/10/2023;1;0;0;0;22055,833;16,8222;88486,87;1524916,572;19,69457566;2,87237566
61;LEITE UHT INTEGRAL JUSSARA MAX GFA - 06 LTS       ;FD ;04/11/2023;498;ENTRADA P/INDUSTRIALIZACAO              ;;;PRO  ;23030851;               ;04/11/2023;1;0;0;0;10252;17,8922;11367,333;202648,8445;20,48135365;2,58915365
61;LEITE UHT INTEGRAL JUSSARA MAX GFA - 06 LTS       ;FD ;05/11/2023;498;ENTRADA P/INDUSTRIALIZACAO              ;;;PRO  ;23030862;               ;05/11/2023;1;0;0;0;9260;17,8922;20627,333;368330,6165;20,48135365;2,58915365
61;LEITE UHT INTEGRAL JUSSARA MAX GFA - 06 LTS       ;FD ;06/11/2023;498;ENTRADA P/INDUSTRIALIZACAO              ;;;PRO  ;23030921;               ;06/11/2023;1;0;0;0;38954;17,8922;59581,333;1065303,375;20,48135365;2,58915365
61;LEITE UHT INTEGRAL JUSSARA MAX GFA - 06 LTS       ;FD ;07/11/2023;498;ENTRADA P/INDUSTRIALIZACAO              ;;;PRO  ;23031026;               ;07/11/2023;1;0;0;0;18077;17,8922;68994,333;1233830,088;20,48135365;2,58915365
